CustomerID,Age,Gender,Tenure,MonthlyCharges,Contract,InternetService,SupportCalls,PaymentMethod,Churn
C001,25,Male,2,2000,Monthly,Fiber,3,CreditCard,Yes
C002,45,Female,24,3500,Yearly,DSL,0,BankTransfer,No
C003,30,Male,6,2800,Monthly,Fiber,2,Easypaisa,Yes
C004,50,Female,36,4000,TwoYear,DSL,0,CreditCard,No
C005,22,Male,1,1800,Monthly,Fiber,4,Cash,Yes
C006,41,Female,48,4200,TwoYear,DSL,1,BankTransfer,No
C007,29,Male,8,2600,Monthly,Fiber,2,Easypaisa,Yes
C008,33,Female,18,3100,Yearly,DSL,1,CreditCard,No
C009,55,Male,60,4500,TwoYear,Fiber,0,BankTransfer,No
C010,27,Female,4,2200,Monthly,Fiber,3,Cash,Yes
C011,39,Male,20,3300,Yearly,DSL,1,CreditCard,No
C012,48,Female,30,3900,TwoYear,Fiber,0,BankTransfer,No
C013,23,Male,2,2100,Monthly,Fiber,4,Easypaisa,Yes
C014,36,Female,15,3000,Yearly,DSL,1,CreditCard,No
C015,52,Male,40,4100,TwoYear,Fiber,0,BankTransfer,No
C016,28,Female,5,2400,Monthly,Fiber,3,Cash,Yes
C017,34,Male,12,2900,Yearly,DSL,1,Easypaisa,No
C018,46,Female,28,3700,TwoYear,Fiber,0,BankTransfer,No
C019,31,Male,7,2700,Monthly,Fiber,2,CreditCard,Yes
C020,42,Female,22,3400,Yearly,DSL,1,BankTransfer,No
